vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
,GB,LDN-202-01,FALSE,REEF UK,519025,,,L1 Expenses,0.677,6/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00027-04-519025
,GB,LDN-202-01,FALSE,REEF UK,519025,,,L1 Expenses,0.674333333,6/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00027-04-519025
,GB,LDN-202-01,FALSE,REEF UK,519025,,,L1 Expenses,0.942666667,6/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00027-04-519025
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,519060,,,L1 Expenses,18.62166667,6/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-07-519060
After Eats,US,BAL-041-01,TRUE,Kitchens (US),519005,,,L1 Expenses,6.833333333,6/1/2024,BAL-041-BK01-US21-519005-12
After Eats,US,BAL-041-01,TRUE,Kitchens (US),519005,,,L1 Expenses,1.666666667,6/1/2024,BAL-041-BK01-US21-519005-12
,US,MIA-027-01,FALSE,Kitchens (US),615040,,,Non-recurring Costs,273.1573333,6/1/2024,MIA-027-GW01-US23-615040-15
,GB,FC-1001066,FALSE,REEF UK,610015,,,Non-recurring Costs,85.18333333,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001066-GB11-D00002-01-610015
,SK,FC-1000099,FALSE,REEF Europe,698050,,,L4 Expenses,9.623333333,6/1/2024,SK-M25868-SK-XX-RE-2000001-FC-1000099-SK10-D00019-01-698050
,GB,FC-1001063,FALSE,REEF UK,601050,,,L4 Expenses,230.958,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001063-GB11-D00026-01-601050
,US,MIA-116-01,FALSE,Kitchens (US),509005,,,L1 Expenses,178.5333333,6/1/2024,MIA-116-EK01-US23-509005-65
,US,MIA-116-01,FALSE,Kitchens (US),509005,,,L1 Expenses,189.406,6/1/2024,MIA-116-EK01-US23-509005-65
,CA,OTT-004-02,FALSE,Kitchens (CAN),520040,,,L2 Expenses,10.11666667,6/1/2024,OTT-004-EK02-CA22-520040-11
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),520040,,,L2 Expenses,8.961,6/1/2024,OTT-006-EK01-CA22-520040-11
,CA,OTT-009-01,FALSE,Kitchens (CAN),615015,,,Non-recurring Costs,8.158666667,6/1/2024,OTT-009-EK01-CA22-615015-11
King Edward,CA,OTT-008-01,TRUE,Kitchens (CAN),520040,,,L2 Expenses,6.144333333,6/1/2024,OTT-008-EK01-CA22-520040-11
,CA,VAN-900-04,FALSE,Kitchens (CAN),698025,,,L4 Expenses,106.6913333,6/1/2024,VAN-900-PK04-CA21-698025-55
,CA,MON-900-03,FALSE,Kitchens (CAN),615005,,,Non-recurring Costs,48.26133333,6/1/2024,MON-900-PK03-CA23-615005-65
,CA,MON-900-03,FALSE,Kitchens (CAN),615005,,,Non-recurring Costs,167.0053333,6/1/2024,MON-900-PK03-CA23-615005-65
,CA,MON-900-03,FALSE,Kitchens (CAN),615020,,,Non-recurring Costs,34.336,6/1/2024,MON-900-PK03-CA23-615020-65
NLAA,US,MIA-028-01,TRUE,Kitchens (US),520040,,,L2 Expenses,10.143,6/1/2024,MIA-028-EK01-US23-520040-11
Pikachu,CA,TOR-010-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,85.14733333,6/1/2024,TOR-010-EK01-CA22-511005-11
,ES,FC-1001149,FALSE,REEF Europe,519015,,,L1 Expenses,87.54,6/1/2024,ES-M25863-ES-XX-RE-2000156-FC-1001149-ES10-D00019-06-519015
,ES,FC-1001149,FALSE,REEF Europe,519015,,,L1 Expenses,179.0256667,6/1/2024,ES-M25863-ES-XX-RE-2000156-FC-1001149-ES10-D00019-06-519015
,ES,FC-1001149,FALSE,REEF Europe,519015,,,L1 Expenses,131.38,6/1/2024,ES-M25863-ES-XX-RE-2000156-FC-1001149-ES10-D00019-06-519015
Newell Ltd,GB,LDN-146-01,TRUE,REEF UK,511005,,,L1 Expenses,38.087,6/1/2024,GB-M25861-GB-XX-RE-1497196-KI-1001190-GB11-D00019-07-511005
,US,MIA-113-01,FALSE,Kitchens (US),507010,,,L1 Expenses,18.33333333,6/1/2024,MIA-113-EK01-US23-507010-11
,US,MIA-010-01,FALSE,Kitchens (US),507010,,,L1 Expenses,18.33333333,6/1/2024,MIA-010-EK01-US23-507010-11
,CA,OTT-004-02,FALSE,Kitchens (CAN),520040,,,L2 Expenses,10.165,6/1/2024,OTT-004-EK02-CA22-520040-11
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),520040,,,L2 Expenses,9.004,6/1/2024,OTT-006-EK01-CA22-520040-11
,CA,OTT-009-00,FALSE,Kitchens (CAN),615015,,,Non-recurring Costs,8.197333333,6/1/2024,OTT-009-EK00-CA22-615015-11
,CA,TOR-028-00,FALSE,Kitchens (CAN),507005,,,L1 Expenses,21.10533333,6/1/2024,TOR-028-EK00-CA22-507005-11-PROJECT ID
,CA,TOR-000-00,FALSE,Kitchens (CAN),610015,,,Non-recurring Costs,241.94,6/1/2024,TOR-000-EK00-CA22-610015-65
After Eats,US,BAL-041-01,TRUE,Kitchens (US),511005,,,L1 Expenses,50.70166667,6/1/2024,BAL-041-BK01-US21-511005-31
Demons,US,DEN-011-01,TRUE,Kitchens (US),511005,,,L1 Expenses,34.35566667,6/1/2024,DEN-011-EK01-US25-511005-11
Creatures,US,DEN-011-02,TRUE,Kitchens (US),511005,,,L1 Expenses,20.22866667,6/1/2024,DEN-011-EK02-US25-511005-11
Pinky,US,GBY-001-01,TRUE,Kitchens (US),511005,,,L1 Expenses,3.313666667,6/1/2024,GBY-001-EK01-US20-511005-11
SkyHawk,US,MIA-003-01,TRUE,Kitchens (US),511005,,,L1 Expenses,16.83866667,6/1/2024,MIA-003-EK01-US23-511005-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,31.30133333,6/1/2024,MIA-007-EK02-US23-511005-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),511005,,,L1 Expenses,107.0213333,6/1/2024,MIA-009-EK07-US23-511005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,86.75933333,6/1/2024,MIA-028-EK01-US23-511005-11
,US,MIA-037-04,FALSE,Kitchens (US),511005,,,L1 Expenses,30.707,6/1/2024,MIA-037-EK04-US23-511005-11
Stacey,US,MIA-049-01,TRUE,Kitchens (US),511005,,,L1 Expenses,37.96833333,6/1/2024,MIA-049-EK01-US23-511005-11
Tasty's,US,MIA-107-01,TRUE,Kitchens (US),511005,,,L1 Expenses,135.9653333,6/1/2024,MIA-107-HK01-US23-511005-32
Athena,US,MIA-112-01,TRUE,Kitchens (US),511005,,,L1 Expenses,11.49666667,6/1/2024,MIA-112-EK01-US23-511005-11
,US,MIN-030-01,FALSE,Kitchens (US),511005,,,L1 Expenses,-79.861,6/1/2024,MIN-030-EK01-US26-511005-11
,CA,OTT-900-01,FALSE,Kitchens (CAN),507005,,,L1 Expenses,92.82266667,6/1/2024,OTT-900-PK01-CA22-507005-55
N&R Ltd,GB,LDN-261-01,TRUE,REEF UK,511005,,,L1 Expenses,35.37533333,6/1/2024,GB-M25861-GB-XX-RE-1552193-KI-1001267-GB11-D00019-07-511005
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-040-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-040-MF01-US20-537005-16
,US,NYC-006-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-006-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-035-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-035-MF01-US20-537005-16
,US,NYC-005-01,FALSE,Kitchens (US),537005,,,L3 Expenses,37.65366667,6/1/2024,NYC-005-MF01-US20-537005-16
